Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000004bf2340      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2839894_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bf27b0      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_41_for_KB3004375~31bf3856ad364e35~x86~~6.1.3.1.mum
0x0000000004bf28d0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB982018_RTM~31bf3856ad364e35~x86~~6.1.3.2.mum
0x0000000004bf2d80      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3133977~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bf2f80      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2604115~31bf3856ad364e35~x86~~6.1.1.3.mum
0x0000000004bf3038      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2972100_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bf30f0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2972100~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bf3210      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Microsoft-Windows-Security-SPP-Component-SKU-Enterprise-Eval-Package~31bf3856ad364e35~x86~~6.1.7600.16385.mum
0x0000000004bf3370      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2977759_RTM~31bf3856ad364e35~x86~~6.1.9.4.mum
0x0000000004bf3680      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_5_for_KB3046480~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bf37d8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Microsoft-Windows-Shell-HomeGroup-Package~31bf3856ad364e35~x86~~6.1.7601.17514.mum
0x0000000004bf3eb8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_7_for_KB2534366~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bf4170      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\propsys.dll
0x0000000004bf4448      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_3_for_KB2719857~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bf45c8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2807986~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bf4cd8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_2_for_KB2807986~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bf4f80      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2966583_SP1~31bf3856ad364e35~x86~~6.1.1.2.mum
