Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x84841938 System                    4      0     75      406 ------      0 2020-10-29 13:23:19 UTC+0000                                 
0x85819020 smss.exe                236      4      2       29 ------      0 2020-10-29 13:23:19 UTC+0000                                 
0x85e36c90 csrss.exe               312    304      9      415      0      0 2020-10-29 13:23:22 UTC+0000                                 
0x85f71d20 wininit.exe             348    304      3       76      0      0 2020-10-29 13:23:22 UTC+0000                                 
0x85f50258 csrss.exe               360    340      9      387      1      0 2020-10-29 13:23:22 UTC+0000                                 
0x85f86728 services.exe            416    348      8      220      0      0 2020-10-29 13:23:22 UTC+0000                                 
0x85f93d20 lsass.exe               432    348      6      577      0      0 2020-10-29 13:23:22 UTC+0000                                 
0x85fb0d20 lsm.exe                 444    348     10      147      0      0 2020-10-29 13:23:22 UTC+0000                                 
0x85f9fb30 winlogon.exe            488    340      3      112      1      0 2020-10-29 13:23:23 UTC+0000                                 
0x8600dd20 svchost.exe             560    416     10      359      0      0 2020-10-29 13:23:24 UTC+0000                                 
0x85ffb358 VBoxService.ex          620    416     12      120      0      0 2020-10-29 13:23:24 UTC+0000                                 
0x85ff8d20 svchost.exe             684    416      6      239      0      0 2020-10-29 13:23:24 UTC+0000                                 
0x860748d0 svchost.exe             772    416     16      412      0      0 2020-10-29 13:23:24 UTC+0000                                 
0x8608b480 svchost.exe             816    416     21      431      0      0 2020-10-29 13:23:25 UTC+0000                                 
0x86098a40 svchost.exe             848    416     28     1031      0      0 2020-10-29 13:23:25 UTC+0000                                 
0x860c0888 svchost.exe             948    416     24      464      0      0 2020-10-29 13:23:25 UTC+0000                                 
0x8611d6a8 svchost.exe            1060    416     13      378      0      0 2020-10-29 13:23:26 UTC+0000                                 
0x8617d6a8 dwm.exe                1228    816      3       71      1      0 2020-10-29 13:23:27 UTC+0000                                 
0x8618b5b0 explorer.exe           1244   1220     42     1175      1      0 2020-10-29 13:23:27 UTC+0000                                 
0x861b82a0 spoolsv.exe            1320    416     13      283      0      0 2020-10-29 13:23:27 UTC+0000                                 
0x861db030 svchost.exe            1364    416     19      314      0      0 2020-10-29 13:23:27 UTC+0000                                 
0x8620a8e8 taskhost.exe           1412    416      9      171      1      0 2020-10-29 13:23:27 UTC+0000                                 
0x86238d20 VBoxTray.exe           1488   1244     13      160      1      0 2020-10-29 13:23:28 UTC+0000                                 
0x86245d20 vmicsvc.exe            1560    416      4       95      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x8627e030 vmicsvc.exe            1628    416      6      108      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x862725f0 vmicsvc.exe            1652    416      3       69      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x86275af8 vmicsvc.exe            1680    416      4       81      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x8627f030 vmicsvc.exe            1704    416      4       82      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x8628ed20 svchost.exe            1732    416     11      319      0      0 2020-10-29 13:23:28 UTC+0000                                 
0x848dad20 cygrunsrv.exe          1880    416      6      101      0      0 2020-10-29 13:23:29 UTC+0000                                 
0x848f5a40 cygrunsrv.exe          1928   1880      0 --------      0      0 2020-10-29 13:23:29 UTC+0000   2020-10-29 13:23:30 UTC+0000  
0x86393c68 conhost.exe             344    312      2       33      0      0 2020-10-29 13:23:30 UTC+0000                                 
0x863bcd20 sshd.exe                280   1928      4      101      0      0 2020-10-29 13:23:30 UTC+0000                                 
0x863df030 svchost.exe            1524    416      5       92      0      0 2020-10-29 13:23:30 UTC+0000                                 
0x860f25e8 SearchIndexer.         2136    416     13      719      0      0 2020-10-29 13:23:34 UTC+0000                                 
0x84af96a8 svchost.exe            3568    416     13      203      0      0 2020-10-29 13:25:30 UTC+0000                                 
0x84abba38 svchost.exe            3596    416     14      417      0      0 2020-10-29 13:25:31 UTC+0000                                 
0x84d48c68 r.exe                  3224   1244     89      142      1      0 2020-10-29 16:16:30 UTC+0000                                 
0x84c643f0 taskmgr.exe             632   1244      0 --------      1      0 2020-10-29 16:16:41 UTC+0000   2020-10-29 16:20:07 UTC+0000  
0x84c2d030 SearchProtocol         3348   2136      7      316      0      0 2020-10-29 16:18:12 UTC+0000                                 
0x84db0398 NANTXrLoVlan.e         3292   3224      1       14      1      0 2020-10-29 16:18:13 UTC+0000                                 
